Track[name=Library Pictures,artist=Arctic Monkeys,duration=113,color=java.awt.Color[r=38,g=217,b=217],day=-1,graphHeight=37561], 2056230917, 424876950
Track[name=Fluorescent Adolescent,artist=Arctic Monkeys,duration=172,color=java.awt.Color[r=70,g=185,b=123],day=-1,graphHeight=37376], 1766174495, -365205782
Track[name=Still Take You Home,artist=Arctic Monkeys,duration=175,color=java.awt.Color[r=223,g=32,b=60],day=-1,graphHeight=37202], 1575768631, 486226269
Track[name=This House Is A Circus,artist=Arctic Monkeys,duration=188,color=java.awt.Color[r=241,g=14,b=173],day=-1,graphHeight=37010], 1175046413, -449969980
Track[name=The Bad Thing,artist=Arctic Monkeys,duration=142,color=java.awt.Color[r=135,g=120,b=184],day=-1,graphHeight=36864], 745445479, -486309728
Track[name=Crying Lightning,artist=Arctic Monkeys,duration=224,color=java.awt.Color[r=82,g=173,b=166],day=-1,graphHeight=36641], 282568955, -975694146
Track[name=Brianstorm,artist=Arctic Monkeys,duration=171,color=java.awt.Color[r=148,g=107,b=208],day=-1,graphHeight=36469], 1050083168, -735744161
Track[name=My Propeller,artist=Arctic Monkeys,duration=208,color=java.awt.Color[r=96,g=159,b=216],day=-1,graphHeight=36261], 727193530, -1142688329
Track[name=Black Treacle,artist=Arctic Monkeys,duration=115,color=java.awt.Color[r=113,g=142,b=131],day=-1,graphHeight=36045], 612223633, -702622211
Track[name=Pretty Visitors,artist=Arctic Monkeys,duration=221,color=java.awt.Color[r=251,g=4,b=231],day=-1,graphHeight=35824], 1048447054, -1250061365
Track[name=She's Thunderstorms,artist=Arctic Monkeys,duration=137,color=java.awt.Color[r=243,g=12,b=167],day=-1,graphHeight=35588], 1146312943, 280231270
Track[name=Don't Sit Down 'Cause I've Moved Your Chair,artist=Arctic Monkeys,duration=183,color=java.awt.Color[r=127,g=128,b=215],day=-1,graphHeight=35404], 1005835764, 2121072962
Track[name=Love Is A Laserquest,artist=Arctic Monkeys,duration=123,color=java.awt.Color[r=85,g=170,b=31],day=-1,graphHeight=35212], 90416364, 434468922
Track[name=D Is For Dangerous,artist=Arctic Monkeys,duration=134,color=java.awt.Color[r=134,g=121,b=68],day=-1,graphHeight=35074], 1356891319, 329848725
Track[name=Balaclava,artist=Arctic Monkeys,duration=166,color=java.awt.Color[r=191,g=64,b=32],day=-1,graphHeight=34902], 1143550940, 1830673867
Track[name=The View from the Afternoon,artist=Arctic Monkeys,duration=222,color=java.awt.Color[r=174,g=81,b=217],day=-1,graphHeight=34684], 1829491577, 462443839
Track[name=When the Sun Goes Down,artist=Arctic Monkeys,duration=199,color=java.awt.Color[r=100,g=155,b=68],day=-1,graphHeight=34470], 594076893, -573045793
Track[name=505,artist=Arctic Monkeys,duration=252,color=java.awt.Color[r=116,g=139,b=33],day=-1,graphHeight=34216], 998865748, -879456426
Track[name=Teddy Picker,artist=Arctic Monkeys,duration=160,color=java.awt.Color[r=154,g=101,b=251],day=-1,graphHeight=34051], 1056958037, 74540386
Track[name=Do Me A Favour,artist=Arctic Monkeys,duration=204,color=java.awt.Color[r=251,g=4,b=244],day=-1,graphHeight=33842], 308999875, 1677278015
Track[name=Hljóp,artist=Chicane & Vigri,duration=312,color=java.awt.Color[r=155,g=100,b=180],day=-3,graphHeight=51178], 745440679, -1780213209
Track[name=Nowhere To Go - Shogun Remix,artist=W&W,duration=487,color=java.awt.Color[r=196,g=59,b=13],day=-3,graphHeight=50683], 201895355, 1064476441
Track[name=Beggin' You - Armin Van Buuren Remix Edit,artist=Jaren,duration=265,color=java.awt.Color[r=98,g=157,b=9],day=-3,graphHeight=50418], 231069225, 1911149005
Track[name=Derezzed (Remixed by Avicii),artist=Daft Punk,duration=304,color=java.awt.Color[r=228,g=27,b=51],day=-3,graphHeight=49123], 930030799, -504112717
Track[name=Kiss With a Fist,artist=Florence + the Machine,duration=124,color=java.awt.Color[r=182,g=73,b=219],day=-4,graphHeight=56703], 1641655927, 752690130
Track[name=Hardest Of Hearts,artist=Florence + the Machine,duration=208,color=java.awt.Color[r=93,g=162,b=47],day=-4,graphHeight=56497], 441268433, 24012488
Track[name=Howl,artist=Florence + the Machine,duration=214,color=java.awt.Color[r=52,g=203,b=200],day=-4,graphHeight=56185], 1137520340, 1381395635
Track[name=I'm Not Calling You A Liar,artist=Florence + the Machine,duration=185,color=java.awt.Color[r=146,g=109,b=113],day=-4,graphHeight=56000], 1404928786, 1858689887
Track[name=Dog Days Are Over,artist=Florence + the Machine,duration=253,color=java.awt.Color[r=95,g=160,b=185],day=-4,graphHeight=55747], 1055407537, -2021179748
Track[name=Girl With One Eye (Bayou Percussion Version),artist=Florence + the Machine,duration=235,color=java.awt.Color[r=217,g=38,b=79],day=-4,graphHeight=55511], 19550139, 996640966
Track[name=Heartlines,artist=Florence + the Machine,duration=302,color=java.awt.Color[r=238,g=17,b=197],day=-4,graphHeight=55210], 14188182, -608361136
Track[name=Viking - Original Mix Edit,artist=Orjan Nilsen,duration=198,color=java.awt.Color[r=98,g=157,b=233],day=-4,graphHeight=54786], 90090057, 222931115
Track[name=Rapture (Avicii New Generation Radio Edit),artist=Nadia Ali,duration=218,color=java.awt.Color[r=228,g=27,b=21],day=-4,graphHeight=54564], 167616864, -403066655
Track[name=The Ones That Get Away - Original Mix Edit,artist=Arnej,duration=253,color=java.awt.Color[r=98,g=157,b=185],day=-4,graphHeight=54311], 1785572031, 2025727179
